incident_date,city,state,description,plan,citation
9/30/2016,grand coteau,LA,Worker clearing debris died after being stung by wasp.,unknown,unknown
9/30/2016,elkton,SD,Woker hospitalized after being injured by pay loader.,unknown,unknown
9/29/2016,buffalo,NY,Worker fatally crushed by falling crane boom.,unknown,unknown
9/29/2016,moses lake,WA,Worker fatally crushed by equipment that fell from truck during loading.,unknown,unknown
9/29/2016,georgetown,MA,Worker fatally crushed between garage door and wheeled excavator.,unknown,unknown
9/27/2016,stanwood,WA,Worker driving truck over railroad track struck and killed by train.,unknown,unknown
9/26/2016,dalton,GA,Worker killed in fall through roof while installing air conditioning unit.,unknown,unknown
9/26/2016,montebello,CA,Worker died after falling and hitting head on machine.,unknown,unknown
9/26/2016,doraville,GA,Worker killed in fall from roof.,unknown,unknown
9/26/2016,milford,IA,Worker killed in fall.,unknown,unknown
9/26/2016,galveston,TX,Worker struck and killed by scrap and garbage loader.,unknown,unknown
9/26/2016,lake charles,LA,Worker electrocuted by energized wire while replacing fluorescent lights.,unknown,unknown
9/24/2016,freeport,TX,Worker struck and killed by backhoe.,unknown,unknown
9/24/2016,heth,AR,Worker killed in fall from truck trestle deck.,unknown,unknown
9/24/2016,north sutton,NH,Worker killed when tractor tipped over.,unknown,unknown
9/23/2016,dallas,TX,Worker fatally shot during robbery.,unknown,unknown
9/23/2016,new orleans,LA,Worker struck and killed by falling forklift fork.,unknown,unknown
9/23/2016,bridgeport,PA,Worker killed in fall from ladder,unknown,unknown
9/23/2016,chicago,IL,Worker killed in fall from job-made box.,unknown,unknown
9/23/2016,burlington,WA,Worker sustained fatal injuries during mass shooting incident.,unknown,unknown
9/23/2016,baton rouge,LA,Worker died after falling in attic crawlspace and striking head.,unknown,unknown
9/22/2016,acworth,GA,Worker struck and killed by train whike operating asphalt roller.,unknown,unknown
9/22/2016,slocomb,AL,Worker fatally crushed between aerial lift and roof.,unknown,unknown
9/22/2016,ottumwa,IA,Worker killed in fall from scaffold.,unknown,unknown
9/22/2016,atlanta,GA,Worker killed in fall while changing chandelier light bulb.,unknown,unknown
9/21/2016,berryville,VA,Worker killed when trench collapsed during replacement of sewer line.,unknown,unknown
9/21/2016,cherry valley,IL,Worker killed in fall from billboard.,unknown,unknown
9/21/2016,yettum,CA,Worker killed in fall from ladder.,unknown,unknown
9/21/2016,kalamazoo,MI,Worker killed in fall from tree.,unknown,unknown
9/21/2016,craryville,NY,Worker killed in fall from scaffold.,unknown,unknown
9/20/2016,ellsworth,OH,Worker struck and killed by garbage truck.,unknown,unknown
9/20/2016,little egg harbor twp,NJ,Worker killed in fall through stairs.,unknown,unknown
9/19/2016,warren,MI,Worker trimming a tree killed in fall.,unknown,unknown
